Postcodes,WasteType,HeavyWaste,PlasterBoard,ToneBag,SelfDispose,SkipSize,BookingDay,Placement
D5W 5SU,Commercial Waste,No,Yes,No,Yes,4,16,Not sure
Y2 8OV,Commercial Waste,No,Yes,No,Yes,5,15,Private Property
UL8 8UK,Commercial Waste,No,Yes,No,Yes,5,14,Public Property
W8 1HP,Commercial Waste,No,Yes,No,Yes,5,13,Grass verge
A2 5JP,Commercial Waste,No,Yes,No,Yes,5,12,Not sure
K7Z 9EF,Commercial Waste,No,Yes,No,Yes,6,11,Private Property
Y9 3OC,Commercial Waste,No,Yes,No,Yes,6,12,Public Property
U5 9DJ,Commercial Waste,No,Yes,No,Yes,6,10,Grass verge
XA3 4UA,Commercial Waste,No,Yes,No,Yes,6,9,Not sure
A8B 1XQ,Commercial Waste,No,Yes,No,Yes,8,8,Private Property
Y1X 8CJ,Commercial Waste,No,Yes,No,Yes,8,7,Public Property
KS1K 6PD,Commercial Waste,No,Yes,No,Yes,8,6,Grass verge
KZ4B 2GV,Commercial Waste,No,Yes,No,Yes,8,5,Not sure
XG5U 1DT,Commercial Waste,No,Yes,No,Yes,10,6,Private Property
M2V 7JM,Commercial Waste,No,Yes,No,Yes,10,7,Public Property
W1L 1PG,Commercial Waste,No,Yes,No,Yes,10,22,Grass verge
L4 3NI,Commercial Waste,No,Yes,No,Yes,10,23,Not sure
Q1D 4GM,Commercial Waste,No,Yes,No,Yes,12,24,Private Property
LY6F 1NR,Commercial Waste,No,Yes,No,Yes,12,25,Public Property
OZ2 5UQ,Commercial Waste,No,Yes,No,Yes,12,26,Grass verge
X2M 4AZ,Commercial Waste,No,Yes,No,Yes,12,27,Not sure
W5J 1GU,Commercial Waste,No,Yes,No,Yes,14,28,Private Property
R6 4DT,Commercial Waste,No,Yes,No,Yes,14,29,Public Property
MI1 8IB,Commercial Waste,No,Yes,No,Yes,14,20,Grass verge
Q8E 4WU,Commercial Waste,No,Yes,No,Yes,14,19,Not sure
H7X 6TM,Commercial Waste,No,Yes,No,Yes,16,18,Private Property
L9O 8EB,Commercial Waste,No,Yes,No,Yes,16,17,Public Property
GF1 2WD,Commercial Waste,No,Yes,No,Yes,16,16,Grass verge
ZB2P 0CC,Commercial Waste,No,Yes,No,Yes,16,15,Not sure
M9 0GH,Commercial Waste,No,Yes,No,Yes,20,14,Private Property
XM9 4ED,Commercial Waste,No,Yes,No,Yes,20,13,Public Property
A7 8CX,Commercial Waste,No,Yes,No,Yes,20,12,Grass verge
M5 3UE,Commercial Waste,No,Yes,No,Yes,20,11,Not sure
CV8W 9RK,Commercial Waste,No,Yes,No,Yes,40,12,Private Property
V2 7FX,Commercial Waste,No,Yes,No,Yes,40,10,Public Property
A1O 1HC,Commercial Waste,No,Yes,No,Yes,40,9,Grass verge
RE7 9QJ,Commercial Waste,No,Yes,No,Yes,40,8,Not sure
V4U 7NK,Commercial Waste,No,Yes,No,No,4,7,Private Property
F1 4JX,Commercial Waste,No,Yes,No,No,4,6,Public Property
K7 7JT,Commercial Waste,No,Yes,No,No,4,5,Grass verge
QJ1B 1TF,Commercial Waste,No,Yes,No,No,4,22,Not sure
TP9 5LB,Commercial Waste,No,Yes,No,No,5,23,Private Property
X8A 3LA,Commercial Waste,No,Yes,No,No,5,24,Public Property
W9V 4EO,Commercial Waste,No,Yes,No,No,5,25,Grass verge
L2S 5NL,Commercial Waste,No,Yes,No,No,5,26,Not sure
ZR8 4WY,Commercial Waste,No,Yes,No,No,6,27,Private Property
O7K 6AU,Commercial Waste,No,Yes,No,No,6,28,Public Property
Y2N 8NC,Commercial Waste,No,Yes,No,No,6,29,Grass verge
LH3V 9XL,Commercial Waste,No,Yes,No,No,6,20,Not sure
W6 3RV,Commercial Waste,No,Yes,No,No,8,19,Private Property
FQ6C 3XL,Commercial Waste,No,Yes,No,No,8,18,Public Property
L9J 9OP,Commercial Waste,No,Yes,No,No,8,17,Grass verge
F2 3VO,Commercial Waste,No,Yes,No,No,8,16,Not sure
B2Y 3GN,Commercial Waste,No,Yes,No,No,10,15,Private Property
U4O 8DL,Commercial Waste,No,Yes,No,No,10,14,Public Property
YD7Z 8TM,Commercial Waste,No,Yes,No,No,10,13,Grass verge
Q9I 2ZJ,Commercial Waste,No,Yes,No,No,10,12,Not sure
M3 7KM,Commercial Waste,No,Yes,No,No,12,11,Private Property
II1 3BD,Commercial Waste,No,Yes,No,No,12,12,Public Property
I6H 8GL,Commercial Waste,No,Yes,No,No,12,10,Grass verge
M4T 3LK,Commercial Waste,No,Yes,No,No,12,9,Not sure
LQ5S 6VT,Commercial Waste,No,Yes,No,No,14,8,Private Property
QU8 1YW,Commercial Waste,No,Yes,No,No,14,7,Public Property
L3S 7XT,Commercial Waste,No,Yes,No,No,14,6,Grass verge
FC4 7HV,Commercial Waste,No,Yes,No,No,14,8,Not sure
E6D 2IV,Commercial Waste,No,Yes,No,No,16,19,Private Property
NY4J 5WK,Commercial Waste,No,Yes,No,No,16,18,Public Property
CC5 9MT,Commercial Waste,No,Yes,No,No,16,17,Grass verge
XF6B 7SB,Commercial Waste,No,Yes,No,No,16,16,Not sure
CG3 3DL,Commercial Waste,No,Yes,No,No,20,15,Private Property
VR3S 6BF,Commercial Waste,No,Yes,No,No,20,14,Public Property
EF9 0MM,Commercial Waste,No,Yes,No,No,20,13,Grass verge
YB6B 4KO,Commercial Waste,No,Yes,No,No,20,12,Not sure
HL3 9VH,Commercial Waste,No,Yes,No,No,40,11,Private Property
DS7 6BG,Commercial Waste,No,Yes,No,No,40,12,Public Property
XD4 0TP,Commercial Waste,No,Yes,No,No,40,10,Grass verge
AG2N 1JK,Commercial Waste,No,Yes,No,No,40,9,Not sure
B2J 8DF,Commercial Waste,No,No,No,No,4,8,Private Property
H8G 4GE,Commercial Waste,No,No,No,No,4,7,Public Property
JG6A 8EU,Commercial Waste,No,No,No,No,4,6,Grass verge
P1Z 7GL,Commercial Waste,No,No,No,No,4,5,Not sure
L2L 3EL,Commercial Waste,No,No,No,No,5,6,Private Property
J3K 5XJ,Commercial Waste,No,No,No,No,5,7,Public Property
I5 9NP,Commercial Waste,No,No,No,No,5,22,Grass verge
XA8A 6MG,Commercial Waste,No,No,No,No,5,23,Not sure
GC6Y 8MU,Commercial Waste,No,No,No,No,6,24,Private Property
W2V 7MB,Commercial Waste,No,No,No,No,6,25,Public Property
QA3R 7ZJ,Commercial Waste,No,No,No,No,6,26,Grass verge
C5 9WV,Commercial Waste,No,No,No,No,6,27,Not sure
F5 5LP,Commercial Waste,No,No,No,No,8,28,Private Property
WZ8E 3DM,Commercial Waste,No,No,No,No,8,29,Public Property
RF4 3LY,Commercial Waste,No,No,No,No,8,20,Grass verge
QY8 9HU,Commercial Waste,No,No,No,No,8,19,Not sure
O9 7GL,Commercial Waste,No,No,No,No,10,18,Private Property
UE5Y 9SD,Commercial Waste,No,No,No,No,10,17,Public Property
NN6K 0WL,Commercial Waste,No,No,No,No,10,16,Grass verge
J2 0HJ,Commercial Waste,No,No,No,No,10,15,Not sure
H6 2FF,Commercial Waste,No,No,No,No,12,14,Private Property
V6L 8UP,Commercial Waste,No,No,No,No,12,13,Public Property
TF9I 8HY,Commercial Waste,No,No,No,No,12,12,Grass verge
D5W 5SU,Commercial Waste,No,No,No,No,12,11,Not sure
Y2 8OV,Commercial Waste,No,No,No,No,14,12,Private Property
UL8 8UK,Commercial Waste,No,No,No,No,14,10,Public Property
W8 1HP,Commercial Waste,No,No,No,No,14,9,Grass verge
A2 5JP,Commercial Waste,No,No,No,No,14,8,Not sure
K7Z 9EF,Commercial Waste,No,No,No,No,16,7,Private Property
Y9 3OC,Commercial Waste,No,No,No,No,16,6,Public Property
U5 9DJ,Commercial Waste,No,No,No,No,16,5,Grass verge
XA3 4UA,Commercial Waste,No,No,No,No,16,22,Not sure
A8B 1XQ,Commercial Waste,No,No,No,No,20,23,Private Property
Y1X 8CJ,Commercial Waste,No,No,No,No,20,24,Public Property
KS1K 6PD,Commercial Waste,No,No,No,No,20,25,Grass verge
KZ4B 2GV,Commercial Waste,No,No,No,No,20,26,Not sure
XG5U 1DT,Commercial Waste,No,No,No,No,40,27,Private Property
M2V 7JM,Commercial Waste,No,No,No,No,40,28,Public Property
W1L 1PG,Commercial Waste,No,No,No,No,40,29,Grass verge
L4 3NI,Commercial Waste,No,No,No,No,40,20,Not sure
